country,iso3,date,edu
Italy,ITA,2013-01-01,4.14367008209229
Germany,DEU,2013-01-01,4.93538999557495
France,FRA,2013-01-01,5.4928936958313
Canada,CAN,2013-01-01,4.5890097618103
United States,USA,2014-01-01,6.12920570373535
United Kingdom,GBR,2014-01-01,5.60134983062744
Japan,JPN,2014-01-01,3.41529989242554
Italy,ITA,2014-01-01,4.06127977371216
Germany,DEU,2014-01-01,4.92102003097534
France,FRA,2014-01-01,5.48920440673828
Canada,CAN,2014-01-01,4.84358978271484
United States,USA,2015-01-01,4.93063020706177
United Kingdom,GBR,2015-01-01,5.55452013015747
Japan,JPN,2015-01-01,3.31221008300781
Italy,ITA,2015-01-01,4.07362985610962
Germany,DEU,2015-01-01,4.85515022277832
France,FRA,2015-01-01,5.44642734527588
Canada,CAN,2015-01-01,4.7393798828125
United States,USA,2016-01-01,4.78327989578247
United Kingdom,GBR,2016-01-01,5.42795991897583
Japan,JPN,2016-01-01,3.14643001556396
Italy,ITA,2016-01-01,3.81578993797302
Germany,DEU,2016-01-01,4.83923006057739
France,FRA,2016-01-01,5.40805816650391
Canada,CAN,2016-01-01,4.81642007827759
United States,USA,2017-01-01,5.09296989440918
United Kingdom,GBR,2017-01-01,5.45256996154785
Japan,JPN,2017-01-01,3.13057994842529
Italy,ITA,2017-01-01,4.04493999481201
Germany,DEU,2017-01-01,4.87182998657227
France,FRA,2017-01-01,5.45160007476807
Canada,CAN,2017-01-01,4.95996999740601
United States,USA,2018-01-01,4.89502000808716
United Kingdom,GBR,2018-01-01,5.20437002182007
Japan,JPN,2018-01-01,3.07782006263733
Italy,ITA,2018-01-01,4.25614023208618
Germany,DEU,2018-01-01,4.97933006286621
France,FRA,2018-01-01,5.40716981887817
Canada,CAN,2018-01-01,4.8889799118042
United States,USA,2019-01-01,4.95746994018555
United Kingdom,GBR,2019-01-01,5.26115989685059
Japan,JPN,2019-01-01,3.15533995628357
Italy,ITA,2019-01-01,4.09527015686035
Germany,DEU,2019-01-01,5.11552000045776
France,FRA,2019-01-01,5.35443019866943
Canada,CAN,2019-01-01,4.77293014526367
United States,USA,2020-01-01,5.39998006820679
United Kingdom,GBR,2020-01-01,5.43935012817383
Japan,JPN,2020-01-01,3.30628991127014
Italy,ITA,2020-01-01,4.44135999679565
Germany,DEU,2020-01-01,5.59038019180298
France,FRA,2020-01-01,5.65981006622314
Canada,CAN,2020-01-01,4.88794994354248
United States,USA,2021-01-01,5.42829990386963
United Kingdom,GBR,2021-01-01,5.90458011627197
Japan,JPN,2021-01-01,3.33563995361328
Italy,ITA,2021-01-01,4.21828985214233
Germany,DEU,2021-01-01,5.45488977432251
France,FRA,2021-01-01,5.43038988113403
Canada,CAN,2021-01-01,4.74860000610352
United Kingdom,GBR,2022-01-01,4.95917558670044
Japan,JPN,2022-01-01,3.23762130737305
Germany,DEU,2022-01-01,4.54389047622681
Canada,CAN,2022-01-01,4.13957166671753
